serie,titre,tome,isbn,genre,nom_s,prenom_s,nom_d,prenom_d,editeur,date_parution
Une aventure d'Astérix le Gaulois ,Le devin,19,2205006509,Aventures Humoristiques,Goscinny, René,Uderzo, Albert,Dargaud,1972-10-01
Une aventure d'Astérix le Gaulois ,Obélix et compagnie,23,2205009214,Aventures Humoristiques,Goscinny, René,Uderzo, Albert,Dargaud,1976-04-01
Une aventure d'Astérix le Gaulois ,Astérix chez les Belges,24,2205011502,Aventures Humoristiques,Goscinny, René,Uderzo, Albert,Dargaud,1979-01-01
La quête de l'oiseau du temps,Le temple de l'oubli,2,2205025767,Héroic - Fantasy,Le Tendre, Serge,Loisel, Régis,Dargaud,1984-01-01
Percevan,Le pays d'Aslor,4,2205028278,Héroic - Fantasy,Léturgie, Jean,Luguy, Philippe,Dargaud,1985-05-01
La quête de l'oiseau du temps,Le Rige,3,2205029525,Héroic - Fantasy,Le Tendre, Serge,Loisel, Régis,Dargaud,1985-11-01
Léonard,Le poids du génie,14,2205031201,Humour,De Groot, Bob,Turk,,Dargaud,1986-10-01
Le quatrième pouvoir,Le quatrième pouvoir,1,2205038680,Science-Fiction,Gimenez, Juan,Gimenez, Juan,Dargaud,1989-05-01
CRS = Détresse,C.R.S = Détresse,1,2205047159,Humour,Achdé,,Achdé,,Dargaud,1993-01-01
Merlin,Jambon et Tartine,1,2205047949,Aventures Humoristiques,Sfar, Joann,Munuera, José-Luis,Dargaud,1999-04-01
Merlin,Contre le père Noël,2,2205049038,Aventures Humoristiques,Sfar, Joann,Munuera, José-Luis,Dargaud,1999-11-01
CRS = Détresse,"Coups, coups c'est nous!",8,2205049232,Humour,Corre, G.,Achdé,,Dargaud,2000-03-01
Blacksad,Quelque part entre les ombres,1,2205049658,Polar-Thriller,Diaz Canales, Juan,Guarnido, Juanjo,Dargaud,2000-11-10
Merlin,Va à la plage,3,2205049720,Aventures Humoristiques,Sfar, Joann,Munuera, José-Luis,Dargaud,2000-07-01
W.E.S.T,La chute de Babylone,1,2205050699,Aventures Fantastiques,Dorison, Xavier,Rossi, Christian,Dargaud,2003-08-01
